celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CCN2
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL1A1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL1A2
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL3A1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL4A1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL4A2
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL6A1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL6A2
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,COL6A3
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CTSK
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,CXCL12
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,DCN
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,FBLN1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,FN1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,FSTL1
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,ID3
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,IGFBP4
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,IGFBP5
MALIGNANT,METAPROGRAM_12,EMT_1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_12_EMT_1,IGFBP7
